"filename", "language", "Markdown", "JSON", "HTML", "C++", "Dart", "Swift", "XML", "YAML", "Properties", "Groovy", "Kotlin", "comment", "blank", "total"
"c:\Users\lauho\source\repos\flutter\drive_easy\test\widget_test.dart", "Dart", 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 10, 7, 31
"c:\Users\lauho\source\repos\flutter\drive_easy\web\index.html", "HTML", 0, 0, 80, 0, 0, 0, 0, 0, 0, 0, 0, 18, 7, 105
"c:\Users\lauho\source\repos\flutter\drive_easy\web\manifest.json", "JSON", 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 36
"c:\Users\lauho\source\repos\flutter\drive_easy\windows\flutter\generated_plugin_registrant.cc", "C++", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 4, 5, 18
"c:\Users\lauho\source\repos\flutter\drive_easy\windows\flutter\generated_plugin_registrant.h", "C++", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"c:\Users\lauho\source\repos\flutter\drive_easy\windows\runner\flutter_window.cpp", "C++", 0, 0, 0, 45, 0, 0, 0, 0, 0, 0, 0, 4, 13, 62
"c:\Users\lauho\source\repos\flutter\drive_easy\windows\runner\flutter_window.h", "C++", 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 5, 9, 34
"c:\Users\lauho\source\repos\flutter\drive_easy\windows\runner\main.cpp", "C++", 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 4, 10, 44
"c:\Users\lauho\source\repos\flutter\drive_easy\windows\runner\resource.h", "C++", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 6, 2, 17
"c:\Users\lauho\source\repos\flutter\drive_easy\windows\runner\utils.cpp", "C++", 0, 0, 0, 53, 0, 0, 0, 0, 0, 0, 0, 2, 10, 65
"c:\Users\lauho\source\repos\flutter\drive_easy\windows\runner\utils.h", "C++", 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 6, 6, 20
"c:\Users\lauho\source\repos\flutter\drive_easy\windows\runner\win32_window.cpp", "C++", 0, 0, 0, 183, 0, 0, 0, 0, 0, 0, 0, 15, 48, 246
"c:\Users\lauho\source\repos\flutter\drive_easy\windows\runner\win32_window.h", "C++", 0, 0, 0, 48, 0, 0, 0, 0, 0, 0, 0, 29, 22, 99
"Total", "-", 13, 235, 80, 411, 307, 12, 123, 51, 8, 93, 5, 252, 220, 1810
